"Date","Price","Open","High","Low","Vol.","Change %"
"16-05-2025","157.55","157.35","158.15","157.00","22.88M","0.13%"
"15-05-2025","157.35","155.50","157.84","154.30","57.07M","1.31%"
"14-05-2025","155.31","151.00","157.15","151.00","60.00M","3.93%"
"13-05-2025","149.43","152.00","152.99","149.01","54.39M","-1.45%"
"12-05-2025","151.63","145.61","151.95","144.50","47.09M","6.20%"
"09-05-2025","142.78","140.99","143.27","140.51","21.88M","-0.62%"
"08-05-2025","143.67","146.00","146.66","142.85","29.69M","-1.60%"
"07-05-2025","146.00","142.20","146.95","142.20","34.67M","1.08%"
"06-05-2025","144.44","142.08","145.40","141.54","42.66M","1.66%"
"05-05-2025","142.08","141.57","142.70","141.20","17.21M","0.64%"
"02-05-2025","141.18","140.00","143.10","139.45","34.85M","0.79%"
"30-04-2025","140.08","141.45","141.56","138.00","29.21M","-1.00%"
"29-04-2025","141.50","142.07","143.30","140.92","25.76M","-0.40%"
"28-04-2025","142.07","138.54","142.60","138.38","26.97M","2.32%"
"25-04-2025","138.85","142.00","143.45","138.02","37.76M","-1.89%"
"24-04-2025","141.52","140.70","141.88","140.28","23.06M","0.26%"
"23-04-2025","141.16","139.39","141.50","137.32","37.85M","2.17%"
"22-04-2025","138.16","142.00","142.84","137.70","58.43M","-0.73%"
"21-04-2025","139.18","137.65","140.30","137.05","26.50M","1.49%"
"17-04-2025","137.14","134.40","137.96","133.70","62.28M","0.12%"
"16-04-2025","136.97","136.41","137.60","134.62","42.68M","0.41%"
"15-04-2025","136.41","135.60","137.00","134.84","38.97M","2.24%"
"11-04-2025","133.42","134.67","134.70","130.49","73.71M","4.91%"
"09-04-2025","127.18","130.00","130.00","125.30","73.40M","-2.38%"
"08-04-2025","130.28","134.89","136.20","128.02","69.00M","0.62%"
"07-04-2025","129.48","128.00","130.35","125.33","121.81M","-7.77%"
"04-04-2025","140.39","152.62","152.99","140.00","80.85M","-8.61%"
"03-04-2025","153.62","153.00","155.97","152.60","15.12M","-0.69%"
"02-04-2025","154.69","154.00","156.25","152.27","24.98M","1.03%"
"01-04-2025","153.12","152.07","155.34","152.07","29.14M","-0.73%"
"28-03-2025","154.24","155.38","156.91","153.37","24.59M","-0.76%"
"27-03-2025","155.42","154.80","156.10","154.20","25.91M","-0.25%"
"26-03-2025","155.81","156.20","157.54","155.01","23.18M","-0.59%"
"25-03-2025","156.73","159.00","159.00","156.05","28.47M","-1.07%"
"24-03-2025","158.42","158.00","159.00","157.11","30.91M","0.72%"
"21-03-2025","157.28","159.03","159.75","156.82","49.18M","-1.11%"
"20-03-2025","159.04","160.00","160.10","156.65","39.89M","0.28%"
"19-03-2025","158.60","156.80","159.20","156.50","66.16M","2.55%"
"18-03-2025","154.66","153.00","154.83","152.22","38.13M","1.88%"
"17-03-2025","151.81","151.99","152.64","150.90","35.88M","0.62%"
"13-03-2025","150.88","152.00","153.56","150.02","48.29M","0.39%"
"12-03-2025","150.30","151.00","152.28","147.70","26.38M","-0.30%"
"11-03-2025","150.75","148.10","151.70","148.00","35.92M","-0.20%"
"10-03-2025","151.05","151.56","154.24","150.41","54.45M","-0.34%"
"07-03-2025","151.56","149.74","152.45","149.27","81.82M","0.74%"
"06-03-2025","150.44","146.79","152.20","146.20","79.12M","2.97%"
"05-03-2025","146.10","139.00","146.49","139.00","62.11M","4.85%"
"04-03-2025","139.34","136.15","140.94","135.81","28.63M","0.56%"
"03-03-2025","138.57","137.00","139.05","134.31","31.15M","1.00%"
"28-02-2025","137.20","137.80","137.80","134.06","45.54M","-1.07%"
"27-02-2025","138.69","137.21","138.99","135.88","30.75M","1.18%"
"25-02-2025","137.07","138.49","139.35","136.70","23.58M","-0.42%"
"24-02-2025","137.65","138.81","140.66","136.66","25.19M","-2.21%"
"21-02-2025","140.76","137.91","141.60","137.15","41.99M","1.97%"
"20-02-2025","138.04","135.27","138.36","135.00","24.14M","1.68%"
"19-02-2025","135.76","134.50","136.88","133.03","18.45M","0.91%"
"18-02-2025","134.54","134.29","134.90","131.75","23.96M","0.19%"
"17-02-2025","134.29","132.91","134.80","130.73","21.19M","-0.13%"
"14-02-2025","134.47","136.25","139.25","133.33","41.47M","-1.31%"
"13-02-2025","136.25","132.28","137.69","131.86","52.04M","3.00%"
"12-02-2025","132.28","129.35","133.29","128.31","37.93M","1.67%"
